127.0.0.1 - - [08/Apr/2019:09:34:17 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/NSBM.jpg HTTP/1.1" 200 62651
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/IIT.jpg HTTP/1.1" 200 55784
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/Stanford.jpg HTTP/1.1" 200 193357
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/Mit.jpg HTTP/1.1" 200 80113
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/Colom.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/Peradeniya.jpg HTTP/1.1" 200 427617
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/Colombo.jpg HTTP/1.1" 200 566396
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:40 +0530] "GET /EEWQ/dribbble.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:41 +0530] "GET /EEWQ/google+.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:41 +0530] "GET /EEWQ/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:41 +0530] "GET /EEWQ/youtube.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:41 +0530] "GET /images/rausch.png HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:41 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:41 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:41 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:42 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:42 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:34:42 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/NSBM.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/IIT.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/Stanford.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/Mit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/Colom.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/Peradeniya.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /images/rausch.png HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/Colombo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:36:03 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/NSBM.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/IIT.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/Colom.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /images/rausch.png HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/Peradeniya.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/Mit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/Stanford.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/Colombo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:30 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:31 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:31 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:31 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:31 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/Colom.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:37:34 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:10 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8869
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:10 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:10 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:10 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:10 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:10 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:10 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:11 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:11 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:11 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:11 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:11 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:11 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:11 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:11 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:11 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:35 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:35 +0530] "GET /EEWQ/NSBM.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:35 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:35 +0530] "GET /EEWQ/IIT.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:35 +0530] "GET /EEWQ/Stanford.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:35 +0530] "GET /EEWQ/Mit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:35 +0530] "GET /EEWQ/Colom.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:36 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:36 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:36 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:36 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:36 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:36 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:36 +0530] "GET /EEWQ/Peradeniya.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:36 +0530] "GET /EEWQ/Colombo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:36 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:54 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8864
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:54 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:54 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:54 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:54 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:54 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:54 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:54 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:54 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:55 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:55 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:38:55 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8864
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/IIT.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/NSBM.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/Stanford.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/Mit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:06 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:07 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:07 +0530] "GET /EEWQ/Peradeniya.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:07 +0530] "GET /EEWQ/Colombo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:07 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:07 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:44:07 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
